publication_number,title,abstract,sub_classes,sub_class,topics,prob,query_publication_numbers,query_class_codes,query_abstract,query_predicted_topics,query_codes_G16H,exact_match_code,count_exact_match_top50,RFR
US2018132776A1,Systems and methods for estimating and predicting emotional states and affects and providing real time feedback,"Systems and methods for estimating emotional states, moods, affects of an individual and providing feedback to the individual or others are disclosed. Systems and methods that provide real time detection and monitoring of physical aspects of an individual and/or aspects of the individual&#39;s activity and means of estimating that person&#39;s emotional state or affect and change to those are also disclosed. Real time feedback to the individual about the person&#39;s emotional change, change or potential change is provided to the user, helping the user cope, adjust or appropriately act on their emotions.","['A61B5/024', 'G16H50/20']","['A61B', 'G16H']",10,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[10],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,14,1.0
US2018008208A1,Patient-Assisted Alarm System,"In the present invention, a system and associated method is provided for monitoring vital parameters of a patient. The monitoring system includes sensors disposed on the patient and operably connected to a monitor. The parameters that are sensed by the sensors are transmitted to the monitor and compared with alarm thresholds and operational criteria stored within the monitor. When an alarm condition is sensed by the system, the system can actively solicit patient assistance in the confirmation of the alarm condition based on a set of reactive inputs stored within the system to enable medical personnel to appropriately respond to clinically relevant sensed alarm condition(s).","['A61B5/026', 'G16H40/63']","['A61B', 'G16H']",10,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[10],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,14,1.0
US2020163628A1,Noninvasive sensor system with visual infographic display,"A sensor system for obtaining and displaying information relating to physiological parameters, such as Total Hemoglobin and Pulse rate for use by a user such as an athlete. The system can present the measured physiological parameters to the user in a useful way. For example the system can display a visual multi quadrant infographic display, which can present the total hemoglobin values measured by the system in a particular season. The system can also display a visual elevation infographic display, which can present a comparison of the total hemoglobin values measured by the system over a period of time and/or at various altitudes. The system can also display a visual yin-yang infographic display, which can present a comparison of one or more metrics calculated by the system or one or more parameters measured by the system. The system can provide useful information about the user&#39;s health and/or well-being and allow the user to quickly and easily view and interpret relevant information.","['G16H15/00', 'A61B5/14546']","['G16H', 'A61B']",46,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[46],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,14,1.0
US2016259905A1,Wearable electronic device and method for controlling the same,"A method includes determining whether the electronic device is attached on a human body and controlling the electronic device based on information regarding at least one of a body condition of a user, the body condition measured when the electronic device is attached, the user wearing the electronic device a position where the electronic device is attached or detached, or when the electronic device is attached or detached. An electronic device includes a memory configured to store an instruction to enable the processor to determine whether the electronic device is attached on a human body and to control the electronic device based on information regarding at least one of a body condition as measured when the electronic device is attached, the user wearing the electronic device, a position where the electronic device is attached or detached, and a time when the electronic device is attached or detached.","['G16H20/30', 'A61B5/6831']","['G16H', 'A61B']",46,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[46],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,14,1.0
US2019279069A1,Travel health optimization,"A geographic location to which a user intends to travel, medical information pertaining to the user and conditions at the geographic location that impact health of human beings can be identified. A health impact model can be created for the user, the health impact model analyzing the determined conditions at the geographic location in a context of the accessed medical information pertaining to the user. Based on the analyzing by the health impact model, a score can be assigned to an anticipated health impact on the user of the identified conditions at the geographic location. If the score assigned to the anticipated health impact on the user of the identified conditions at the geographic location exceeds a threshold value, at least one action for the user can be automatically initiated and controlled.","['G06N5/04', 'G16H50/30']","['G06N', 'G16H']",46,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[46],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,14,1.0
US2022367031A1,Health monitoring and coaching system,"A system is disclosed that monitors participants in health-related programs, such as weight loss or exercise programs, and that provides automated, personalized health coaching to the program participants. The system includes breath analysis devices that are used by the program participants to generate ketone measurements, and includes a mobile application that runs on mobile devices of the participants and communicates with corresponding breath analysis devices. The system operates generally by monitoring ketone levels (such as acetone levels) and other attributes of the participants and by making personalized, machine-generated changes or updates to such programs to maintain program effectiveness and engagement. In some embodiments the system uses artificial intelligence to classify and coach the participants.","['G16H50/30', 'G16H50/30']","['G16H', 'G16H']",46,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[46],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,14,1.0
US2022367059A1,System and method for wellness assessment of a pet,"A system, method, and apparatus for assessing pet wellness. The method includes receiving data related to a pet. The method also includes determining based on the data one or more health indicators of the pet, and performing a wellness assessment of the pet based on the one or more health indicators. In addition, the method includes determining a recommendation to a pet owner based on the wellness assessment. The method further includes transmitting the recommendation to a mobile device of the pet owner, wherein the recommendation is displayed at the mobile device to the pet owner.","['G16H50/30', 'G06Q30/0267']","['G16H', 'G06Q']",46,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[46],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,14,1.0
US2022359073A1,Edge-intelligent Iot-based Wearable Device For Detection of Cravings in Individuals,"A wearable physiological monitoring system comprises commercially available off-the shelf components. With the growth of interrelated systems of computing devices, mechanical and digital machines, objects, animals or people connected by the Internet, there is a significant interest in the use of wearable sensors such as cell watches, and smart phones. These wearable sensors may be used to monitor physiological signals and provide health information. An edge-intelligent Internet based wearable assists in substance-abuse detection by monitoring and interpreting an individual&#39;s physiological signals on continuous basis. The wearable device helps in monitoring cravings and substance abuse of the individual and help the healthcare provider to start an early intervention as required. The proposed system is developed as a dedicated substance abuse wearable system. An example of a wearable device is a medical quality wearable which yielded a correlation of 0.89 for accelerometer measurements and 0.92 for average heart rate measurements in tests.","['G16H20/70', 'G16H20/10']","['G16H', 'G16H']",46,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[46],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,14,1.0
US2022310225A1,Health management apparatus and method for providing health management service based on neuromusculoskeletal model,"A health management apparatus based on a neuromuscular skeletal model receives a medical image of a user, and models a skeleton, an external shape, and a muscle of the user in three dimensions based on the medical image to generate a neuromusculoskeletal model of the user. The health management apparatus receives motion data generated based on a motion of the user, and updates the neuromusculoskeletal model based on the motion data. The health management apparatus performs a simulation on the updated neuromusculoskeletal model, and generates an exercise or rehabilitation program of the user based on a result of the simulation.","['A61B5/11', 'G16H30/40']","['A61B', 'G16H']",46,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[46],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,14,1.0
US2022192556A1,"Predictive, diagnostic and therapeutic applications of wearables for mental health","Methods, systems, and computer-readable media are disclosed herein for predictive, diagnostic, and therapeutic applications of wearables for mental health. Information is received from at least one user device comprising a wearable device and corresponding to a user of the at least one user device. A response from the user to a validating questionnaire for a type of mental disorder or neurological disorder is received. A risk score corresponding to the type of mental disorder or neurological disorder and based at least in part on the information and the response to the validating questionnaire is determined. A determination is made as to whether the risk score is within a first predetermined range. In response to the risk score not being within the first predetermined range, a notification is automatically provided. Feedback from the wearable device is received in response to the user taking a medication prescribed after automatically providing the notification. The feedback indicates data corresponding to an activity or a behavior of the user is not within a second predetermined range. A follow up is automatically scheduled in response to receiving the feedback.","['A61B5/11', 'G16H20/70']","['A61B', 'G16H']",46,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[46],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,14,1.0
US2010241465A1,Systems and methods for sensor-enhanced health evaluation,"Systems and methods are discussed for providing sensor enhanced safety, recovery, and activity evaluation systems. Sensors that monitor user activity and behavior are worn by a user and/or placed in the user environment. Data from the sensors are processed to obtain a safety, recovery, and/or activity evaluation. Based on the evaluation, recommendations or adjustments to the terms of an insurance policy covering the user, the user&#39;s employer, or a facility providing health care to the user to accurately reflect the risks associated with the user, employer, and/or facility.","['G06Q40/00', 'G16H50/30']","['G06Q', 'G16H']",46,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[46],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,14,1.0
US2010023348A1,Remotely taking real-time programmatic actions responsive to health metrics received from worn health monitoring devices,"Health metrics can be received from at least one person wearing a health monitoring device in an unencumbered fashion that permits free motion. The health monitoring device can wirelessly convey the heath metrics to a remotely located computing device. The received health metrics can be compared against at least one configurable, yet previously established threshold. A change in a situation proximate to the person can be inferred based upon comparison results. A programmatic event can be fired based upon the inferred change. At least one programmatic action can be automatically initiated responsive to the firing of the programmatic event, wherein the programmatic action initiates a response to the inferred change.","['G16H40/67', 'G06Q10/00']","['G16H', 'G06Q']",46,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[46],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",G16H40/67,14,1.0
US2016242664A1,An apparatus and method for evaluating multichannel ecg signals,"An evaluating method for ECG signals is provided, which comprises the steps of: a) obtaining a multichannel ECG signal of a subject over a first predetermined time period by means of a multi-lead ECG device; b) extracting a plurality of first parameters from the multichannel ECG signal; c) evaluating the quality of the multichannel ECG signal based on the plurality of first parameters; and d) presenting an indicator for indicating the quality of the ECG signal via a user interface. An ECG signal evaluating apparatus, an ECG signal acquiring apparatus, an ECG signal evaluation system and a computer program are also provided. The ECG signal evaluating method, apparatus, system and computer program of the present invention can improve the accuracy of the evaluation of the quality of the ECG signals and reduce the computational complexity of the evaluation of the quality of the ECG signals.","['G16H50/20', 'A61B5/7267']","['G16H', 'A61B']",7,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[7],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,14,1.0
US2019231316A1,Diagnosis and monitoring of myocardial infarction using ecg data for treatment with sonoreperfusion ultrasound,An ECG system acquires ECG signals for the production of ECG lead data which is analyzed for ST elevation characteristics. The ST elevation information is further analyzed to identify a coronary artery or region of the myocardium which may be affected by an obstruction or occlusion. The identity of an obstructed coronary artery or affected myocardium is related to a spatial location in an ultrasound image of the heart to target an ultrasound probe at the coronary artery or myocardial region which may be obstructed or affected by an obstruction. Sonoreperfusion is then performed at the coronary artery or myocardial region targeted by the ultrasound probe.,"['A61B5/044', 'G16H50/30']","['A61B', 'G16H']",7,1.0,US20230238130A1,"A61B5/14551,A61,A61B5/0295,A61B5/6829,G,A61B5/7221,A61B5/14532,G16H40/00,A61B5/14546,G16H40/60,A61B5/68,A61B2562/08,H,A61B1/00,A61B2562/221,A61B5/7475,A61B2562/18,A61B5/746,A61B5/7405,H05K,G16H40/67,A61B,Y10,A61B5/6813,Y,A61B2562/185,G16H10/40,A61B5/6826,A61B5/02,A61B5/0002,A61B5/1455,A61B5/6832,A,A61B5/7235,A61B5/6801,A61B5/7278,G16H,A61B5/026,A61B5/742,A61B2562/22,A61B5/024,G16,A61B5/02416,A61B5/683,A61B5/0015,A61B5/6825,Y10S,A61B5/1495,A61B5/72,A61B5/0261,A61B2562/085,A61B2562/222,A61B5/7275,A61B5/00,A61B5/145,A61B5/74,G16H10/00,H05K999/99,A61B5/7246,Y10S439/909,A61B5/14552,A61B5/6838,A61B5/6815,A61B5/7271,H05K999/00,A61B5/02427,A61B5/0205,Y10S439/00,A61B5/0022,A61B5/6814,A61B2562/00,H05","A physiological sensor has light emitting sources, each activated by addressing at least one row and at least one column of an electrical grid. The light emitting sources are capable of transmitting light of multiple wavelengths and a detector is responsive to the transmitted light after attenuation by body tissue.",[7],"G16H40/00,G16H40/60,G16H40/67,G16H10/40,G16H,G16H10/00",,14,1.0
